job_path	batch	harbor_version	created_at	n_concurrent_trials	n_planned	n_scored	n_total_trials	agent	model	dataset_source	task_digest_head	src_bytes	archive_bytes	sha256	allowlist_diff	hf_path	archived_at	redacted	leak_hits
baseline/2026-09-12__23-46-37	baseline	0.22.0	2026-09-12T15:46:38.078144Z	1	39	39	39	sid_code_agent:SidCodeAgent	openai/origin-deepseek-v4-1-flash	survivors	sha256:aa2eca929	647493061	73685678	96d0a987289583f9e166a97b72afca60c51043dac3927a9036a563366a10b93d	none	evidence/v0.2-mini/baseline/2026-09-12__23-46-37.tar.zst	2026-09-17T15:07:34Z	no	356
t5-gate/nop/2026-09-10__14-35-31	t5-gate	0.22.0	2026-09-10T06:35:31.964594Z	1	65	65	65	nop		tasks	sha256:5c443fe0e	21312665	751238	0dd091180db3260e10f49f868e400c118775e467f315ff0b03e50aff76bb2bde	none	evidence/v0.2-mini/t5-gate/nop/2026-09-10__14-35-31.tar.zst	2026-09-17T15:07:34Z	no	198
t5-gate/oracle-k3/2026-09-10__17-10-28	t5-gate	0.22.0	2026-09-10T09:10:28.853885Z	1	120	120	120	oracle		survivors	sha256:5c443fe0e	37483461	1064409	4ce785bcbc7a0aecdd52aa4967675fed9969b8aab3e782bb74c9afe956bf0a91	none	evidence/v0.2-mini/t5-gate/oracle-k3/2026-09-10__17-10-28.tar.zst	2026-09-17T15:07:34Z	no	362
t5-gate/oracle/2026-09-10__15-14-56	t5-gate	0.22.0	2026-09-10T07:14:57.498021Z	1	65	65	65	oracle		tasks	sha256:5c443fe0e	21396655	744872	70d4b5b51d382b9b6311a2e5f7b87391c099d04d9fd13da0f6b47deb430a2575	none	evidence/v0.2-mini/t5-gate/oracle/2026-09-10__15-14-56.tar.zst	2026-09-17T15:07:34Z	no	197
t5-gate/selftest/nop/2026-09-11__00-12-29	t5-gate	0.22.0	2026-09-10T16:12:29.866403Z	1	1	1	1	nop		tasks-nop	sha256:75f246e23	10443	3274	d7f6ff22065f53d839097e023535a4f7286941700b59ffb57e56946d91ecf518	none	evidence/v0.2-mini/t5-gate/selftest/nop/2026-09-11__00-12-29.tar.zst	2026-09-17T15:07:34Z	no	5
t5-gate/selftest/nop/2026-09-11__00-20-21	t5-gate	0.22.0	2026-09-10T16:20:21.613339Z	1	1	1	1	nop		tasks-nop	sha256:75f246e23	10443	3272	6d64f03c62358947d17ba501c44d18919371c2f885c42dd958690201dadc9e1d	none	evidence/v0.2-mini/t5-gate/selftest/nop/2026-09-11__00-20-21.tar.zst	2026-09-17T15:07:34Z	no	5
t5-gate/selftest/oracle/2026-09-11__00-09-05	t5-gate	0.22.0	2026-09-10T16:09:05.630324Z	1	4	4	4	oracle		tasks-oracle	sha256:ac5da254c	1615116	73166	2d1d8997daa058f2647da4c6565e716402536a0f9515d8b4dc9015960356d7ba	none	evidence/v0.2-mini/t5-gate/selftest/oracle/2026-09-11__00-09-05.tar.zst	2026-09-17T15:07:34Z	no	14
t5-gate/selftest/oracle/2026-09-11__00-18-09	t5-gate	0.22.0	2026-09-10T16:18:09.238105Z	1	5	5	5	oracle		tasks-oracle	sha256:ac5da254c	1622582	73523	b77ca6dc2368cc8f393ca38ae41c476dbb82aca869334a479268fa9f50089acc	none	evidence/v0.2-mini/t5-gate/selftest/oracle/2026-09-11__00-18-09.tar.zst	2026-09-17T15:07:34Z	no	17
t6-recheck/oracle-k3/2026-09-11__10-10-26	t6-recheck	0.22.0	2026-09-11T02:10:26.340229Z	1	6	6	6	oracle		tasks	sha256:85dd97b3a	1704839	78990	5267d43b5ae622ebafaad3ac03b8c26ab9157d6d3bcc9a1f9548d5468f18d0a4	none	evidence/v0.2-mini/t6-recheck/oracle-k3/2026-09-11__10-10-26.tar.zst	2026-09-17T15:07:34Z	no	20
t7-regate/2026-09-12__22-05-15	t7-regate	0.22.0	2026-09-12T14:05:16.334860Z	1	39	39	39	oracle		survivors	sha256:aa2eca929	11456962	448185	d55a4b0a39870d31da56b119cfa9dd1f63f4df1705068cdc0f8f1f26b91bb203	none	evidence/v0.2-mini/t7-regate/2026-09-12__22-05-15.tar.zst	2026-09-17T15:07:34Z	no	126
